,Title,Time,Link
34,FY2021 EPS Estimates for U.S. Bancorp Lifted by Analyst (NYSE:USB),2 weeks ago,https://www.marketbeat.com/instant-alerts/nyse-usb-analyst-earnings-estimates-2021-02/
35,U.S. Bancorp (USB) Stock Is Higher By 0.81% This Week: Buy- Hold- or Sell?,1 week ago,https://www.investorsobserver.com/news/stock-update/u-s-bancorp-usb-stock-is-higher-by-0-81-this-week-buy-hold-or-sell
36,U.S. Bank Named One of the 2021 World's Most Ethical ...,3 weeks ago,https://www.businesswire.com/news/home/20210223005704/en/U.S.-Bank-Named-One-of-the-2021-World%E2%80%99s-Most-Ethical-Companies
37,U.S. Bancorp (NYSE:USB) Given New $58.00 Price Target at Morgan Stanley,6 days ago,https://www.marketbeat.com/instant-alerts/nyse-usb-a-buy-or-sell-right-now-2021-03/
38,Zions Bancorp N.A. stock outperforms competitors on strong trading day,2 days ago,https://www.marketwatch.com/story/zions-bancorp-n-a-stock-outperforms-competitors-on-strong-trading-day-01615584890-605c16098710
39,3 Acquisitions That Could Shake Up the Regional Banking Space,2 days ago,https://www.fool.com/investing/2021/03/12/3-acquisitions-that-could-shake-up-the-regional-ba/
40,US Bank- Wells Fargo and Bremer Bank leaders share ...,3 weeks ago,https://www.bizjournals.com/twincities/news/2021/02/18/banking-panel-local-banking-experts-dont-predict.html
41,This Insider Has Just Sold Shares In Capital Bancorp- Inc. (NASDAQ:CBNK),1 day ago,https://www.nasdaq.com/articles/this-insider-has-just-sold-shares-in-capital-bancorp-inc.-nasdaq%3Acbnk-2021-03-13
42,Davis Wright Tremaine Honored with U.S. Bank's “Invested in ...,3 days ago,https://www.valdostadailytimes.com/news/business/davis-wright-tremaine-honored-with-u-s-bank-s-invested-in-diversity-award/article_f067a1fe-5795-55bd-af6b-adeb89aa33b4.html
43,"JPMorgan and Citi are using blockchain technology- and other banks are 
considering allowing clients to ho..",3 weeks ago,https://www.businessinsider.com/blockchain-technology-financial-institutions-jpmorgan-bitcoin-citi-cryptocurrency-transactions-btc-2021-2
44,Latest Innovative Report Trade Finance Market by Webster ...,2 days ago,https://ksusentinel.com/2021/03/12/latest-innovative-report-trade-finance-market-by-webster-bank-zions-bancorp-cullen-frost-bankers-first-national-bank-of-omaha-citi-bbt-royal-bank-of-canada-banorte/
45,Small Minnesota bank's novel hire: Chief M&A officer,2 days ago,https://www.americanbanker.com/news/small-minnesota-banks-novel-hire-chief-m-a-officer
46,Which of Buffett's Banks Has the Highest Dividend Yield?,1 week ago,https://www.fool.com/investing/2021/03/07/which-of-buffetts-banks-has-the-highest-dividend-y/
47,Zions Bancorp N.A. stock outperforms market on strong trading day,4 days ago,https://www.marketwatch.com/story/zions-bancorp-n-a-stock-outperforms-market-on-strong-trading-day-01615412087-a1f7240b94bb
48,USB April 30th Options Begin Trading,3 days ago,https://www.nasdaq.com/articles/usb-april-30th-options-begin-trading-2021-03-11
49,I Ran A Stock Scan For Earnings Growth And First Northwest ...,1 day ago,https://simplywall.st/stocks/us/banks/nasdaq-fnwb/first-northwest-bancorp/news/i-ran-a-stock-scan-for-earnings-growth-and-first-northwest-b
50,There's A Lot To Like About Republic Bancorp's (NASDAQ ...,1 day ago,https://simplywall.st/stocks/us/banks/nasdaq-rbca.a/republic-bancorp/news/theres-a-lot-to-like-about-republic-bancorps-nasdaqrbcaa-upc
51,The 3 Big Bank Moves Warren Buffett Made Last Quarter,3 weeks ago,https://www.fool.com/investing/2021/02/19/the-3-big-bank-moves-warren-buffett-made-last-quar/
