,Title,Time,Link
148,Wells Fargo giving $1.5 million in funding to help small businesses,1 month ago,https://www.nbc12.com/2021/02/05/wells-fargo-giving-million-funding-help-small-businesses/
149,Wells Fargo giving $1.5 million in funding to help small businesses,1 month ago,https://www.nbc12.com/2021/02/05/wells-fargo-giving-million-funding-help-small-businesses/
150,Wells Fargo closing more branches- including in Broomall ...,"Aug 24, 2020",https://www.bizjournals.com/philadelphia/news/2020/08/24/wells-fargo-announces-54-more-branches.html
151,Valley homeowner battles Wells Fargo over mortgage agreement,1 month ago,https://www.12news.com/article/news/local/valley/woman-mortgage-forclosure-wells-fargo-cares-act/75-8a434f1b-27e5-4f5a-8003-f7b31e8782c0
152,Wells Fargo to work remotely until at least October ...,"Aug 7, 2020",https://www.bizjournals.com/twincities/news/2020/08/07/wells-fargo-to-work-remotely-until-at-least-octobe.html
153,"Wells Fargo's diversity initiative to hire more Black leaders probed by 
Labor Department","Oct 7, 2020",https://www.usatoday.com/story/money/2020/10/07/wells-fargo-trump-labor-department-diversity-black-leaders/5911388002/
154,"Wells Fargo makes it harder for poor customers to avoid checking account 
service fee","Sep 17, 2020",https://www.charlotteobserver.com/news/business/banking/article245774330.html
155,Wall Street Is Still Betting on Wells Fargo Stock,1 month ago,https://www.barrons.com/articles/wall-street-is-still-betting-on-wells-fargo-stock-51611608030
156,USC Athletics Announces Customized Debit Card For Wells ...,"Nov 10, 2020",https://usctrojans.com/news/2020/11/10/usc-trojans-athletics-fox-sports-properties-wells-fargo-customized-debit-card
157,Wells Fargo Targets Gen Z With Low-Cost Digital Account,"Sep 1, 2020",https://www.pymnts.com/news/banking/2020/wells-fargo-targets-gen-z-with-low-cost-digital-account/
158,Wells Fargo to officially close Anaconda branch,"Nov 30, 2020",https://mtstandard.com/news/local/wells-fargo-to-officially-close-anaconda-branch/article_db5ebfcf-4fd6-542e-aae0-3fb87cf80bb3.html
159,Wells Fargo & Company Announces Final Results of Any and ...,1 month ago,https://www.businesswire.com/news/home/20210126005466/en/Wells-Fargo-Company-Announces-Final-Results-of-Any-and-All-Cash-Tender-Offers-by-Its-Wholly-Owned-Subsidiary
160,Wells Fargo to pay $7.8 million to settle past discrimination ...,"Aug 25, 2020",https://www.bizjournals.com/charlotte/news/2020/08/25/wells-fargo-pays-nearly-8-million-in-labor-case.html
161,Wells Fargo: Pandemic Brings Heightened Awareness to ...,"Dec 28, 2020",https://www.businesswire.com/news/home/20201228005004/en/Wells-Fargo-Pandemic-Brings-Heightened-Awareness-to-Need-for-Planning
