,Title,Time,Link
112,"Jefferson: ‘Am I in the Twilight Zone?’ Marine has to eat the loss after 
$10-000 is looted from his USAA Bank account","Oct 23, 2020",https://www.expressnews.com/business/business_columnists/greg_jefferson/article/Jefferson-Am-I-in-the-Twilight-Zone-15670225.php
113,USAA sues PNC Bank- accusing it of illegally using remote ...,"Oct 3, 2020",https://www.post-gazette.com/business/money/2020/10/03/USAA-sues-PNC-Bank-remote-deposit/stories/202010020197
114,Best cheap car insurance in Tucson,2 days ago,https://www.bankrate.com/insurance/car/tucson/
115,Kforce named top company for remote jobs - Tampa Bay ...,5 days ago,https://www.bizjournals.com/tampabay/news/2021/03/09/one-of-tampa-bay-public-companies-named-top-compan.html
116,USAA Extends COVID-19 Support for Food Insecurity- 'Digital ...,"Nov 19, 2020",https://www.prnewswire.com/news-releases/usaa-extends-covid-19-support-for-food-insecurity-digital-divide-as-holidays-approach-301176497.html
117,Students receive scholarships and emergency support ...,"Dec 1, 2020",https://www.utsa.edu/today/2020/12/story/usaa-bold-promise-2020.html
118,USAA Life Insurance Company Receives Highest Overall ...,"Nov 18, 2020",https://www.prnewswire.com/news-releases/usaa-life-insurance-company-receives-highest-overall-score-in-jd-power-life-insurance-study-301176338.html
119,Bank of America finance chief moves to USAA,"Sep 1, 2020",https://www.cfodive.com/news/usaa-bank-of-america-Jeff-Wallace/584520/
120,USAA names Jeff Wallace CFO,"Sep 1, 2020",https://www.expressnews.com/business/article/USAA-names-Jeff-Wallace-CFO-15532201.php
121,Tips For Banks As USAA Check Deposit Patent Dispute Grows,1 month ago,https://www.jdsupra.com/legalnews/tips-for-banks-as-usaa-check-deposit-3092453/
122,"USAA Insurance approves- then denies an auto claim by a Green Beret who 
lost his leg in Afghanistan","Aug 7, 2020",https://www.dallasnews.com/news/watchdog/2020/08/07/usaa-insurance-approves-then-denies-an-auto-claim-by-a-green-beret-who-lost-his-leg-in-afghanistan/
123,USAA v. PNC- lingering deposit glut- Kraninger's future: Top ...,"Oct 9, 2020",https://www.americanbanker.com/list/usaa-v-pnc-lingering-deposit-glut-kraningers-future-top-stories-of-the-week
124,USAA hires long-time BB&T executive to top legal position ...,"Jul 15, 2020",https://www.bizjournals.com/sanantonio/news/2020/07/15/usaa-hires-long-time-executive-to-top-legal.html
125,USAA increases Residential Re 2020-2 cat bond target to ...,"Oct 28, 2020",https://www.artemis.bm/news/usaa-increases-residential-re-2020-2-cat-bond-target-to-400m/
126,Global Gap Insurance Market: Global Industry Analysis- Size ...,2 days ago,https://neighborwebsj.com/uncategorized/4592067/global-gap-insurance-market-global-industry-analysis-size-share-trends-growth-and-forecast-state-farm-motor-easy-ltd-esurance-travelers/
127,USAA renews NFL deal despite likely anthem protests - San ...,"Sep 14, 2020",https://www.bizjournals.com/sanantonio/news/2020/09/14/usaa-nfl-renew-deal.html
128,USAA to attach its brand to esports Call of Duty League - San ...,1 month ago,https://www.bizjournals.com/sanantonio/news/2021/02/10/usaa-to-attach-its-brand-to-esports-league.html
129,USAA sues PNC over alleged infringement of mobile deposit ...,"Oct 2, 2020",https://www.bankingdive.com/news/usaa-pnc-mobile-deposit-tech-lawsuit/586301/
130,USAA to Return an Additional $280 Million to Members ...,"Apr 30, 2020",https://www.prnewswire.com/news-releases/usaa-to-return-an-additional-280-million-to-members-totaling-800-million-in-dividends-301050729.html
131,USAA Invites Army-Navy Game Fans to Celebrate Virtually at ...,"Dec 7, 2020",https://www.prnewswire.com/news-releases/usaa-invites-army-navy-game-fans-to-celebrate-virtually-at-army-navy-house-301186919.html
