Symbol,Company,Date,EPS_Estimate,Reported_EPS,Surprise (%)
COF,Capital One Financial Corporation,"Oct 16, 2001",0.75,0.75,-0.19
COF,Capital One Financial Corporation,"Jul 17, 2001",0.7,0.7,-0.19
COF,Capital One Financial Corporation,"Apr 17, 2001",0.66,0.66,-0.24
COF,Capital One Financial Corporation,"Jan 16, 2001",0.61,0.61,-0.69
COF,Capital One Financial Corporation,"Oct 11, 2000",0.58,0.58,-0.14
COF,Capital One Financial Corporation,"Jul 12, 2000",0.54,0.54,+0.08
COF,Capital One Financial Corporation,"Apr 13, 2000",0.51,0.51,+0.39
COF,Capital One Financial Corporation,"Jan 18, 2000",0.48,0.47,-1.26
COF,Capital One Financial Corporation,"Oct 14, 1999",0.44,0.45,+1.14
COF,Capital One Financial Corporation,"Jul 15, 1999",0.41,0.41,-0.5
COF,Capital One Financial Corporation,"Apr 15, 1999",0.39,0.42,+5.58
COF,Capital One Financial Corporation,"Jan 19, 1999",0.35,0.35,-0.19
COF,Capital One Financial Corporation,"Oct 13, 1998",0.33,0.33,+0.33
COF,Capital One Financial Corporation,"Jul 16, 1998",0.31,0.34,+9.99
COF,Capital One Financial Corporation,"Apr 16, 1998",0.28,0.32,+13.43
COF,Capital One Financial Corporation,"Jan 15, 1998",0.27,0.29,+6.02
COF,Capital One Financial Corporation,"Oct 16, 1997",0.23,0.24,+3.97
COF,Capital One Financial Corporation,"Jul 15, 1997",0.19,0.19,+0.97
COF,Capital One Financial Corporation,"Apr 17, 1997",0.21,0.21,-0.18
